algorithm,seed,episodes,mean_reward,std_reward,success_rate,train_time_s
qlearning,0,15000,92.7516,0.8043,1.0,95.9
qlearning,1,15000,91.9836,1.2425,1.0,94.3
qlearning,2,15000,94.3231,0.8529,1.0,92.0
dynaq_q0,0,5000,0.0,0.0,0.0,215.4
dynaq_q0,1,5000,0.0,0.0,0.0,213.5
dynaq_q0,2,5000,0.0,0.0,0.0,214.2
dynaq_q1,0,5000,91.4617,1.6558,1.0,148.4
dynaq_q1,1,5000,87.159,0.5146,1.0,159.8
dynaq_q1,2,5000,61.5209,43.4577,0.7,161.9
dynaq_q0_10k,0,10000,91.3603,2.0489,1.0,216.1
