n_planning,mean_reward,std_reward,success_rate,ci95,first_success_ep,training_time_s
0,0.0,0.0,0.0,0.0,17.0,59.019975900650024
1,0.0,0.0,0.0,0.0,,68.56888198852539
5,0.0,0.0,0.0,0.0,,100.85607290267944
10,39.97428571428568,57.175668384610866,0.66,15.848286710783603,51.0,119.67449498176575
20,-28.939428571428927,56.17231842293796,0.18,15.570172290557151,47.0,198.97896075248718
50,0.0,0.0,0.0,0.0,,420.4240050315857
