,total_wins,total_games,win_rate,ci95
territory,127.0,240.0,0.5291666666666667,0.06315100857673818
mob_territory,125.0,240.0,0.5208333333333334,0.06320379204370338
mob_center,119.0,240.0,0.49583333333333335,0.06325653146630907
full,116.0,240.0,0.48333333333333334,0.06322357448270675
mob_only,113.0,240.0,0.4708333333333333,0.06315100857673818
