heuristic,total_wins,total_games,win_rate,ci_lo,ci_hi
mob_only,3064,6000,0.5107,0.498,0.5233
mob_center,3064,6000,0.5107,0.498,0.5233
full,3041,6000,0.5068,0.4942,0.5195
territory,3012,6000,0.502,0.4894,0.5146
mob_territory,2819,6000,0.4698,0.4572,0.4825
