experiment,agent_a,agent_b,wins_a,n,win_rate_a,p_value,ci_lo,ci_hi
final_agent_vs_random,mob_only_d5,random,181,200,0.905,0.0,0.8564,0.9383
mirror_match_p1_advantage,mob_only_d5_as_P1,mob_only_d5_as_P2,100,100,1.0,0.0,0.963,1.0
